d,p_pauli,ler
7,0.003,0.0281
7,0.003105263157894737,0.0327
7,0.0032105263157894736,0.0293
7,0.0033157894736842108,0.0362
7,0.0034210526315789475,0.0391
7,0.0035263157894736843,0.0403
7,0.003631578947368421,0.0412
7,0.003736842105263158,0.0495
7,0.003842105263157895,0.0479
7,0.003947368421052632,0.0549
7,0.0040526315789473685,0.0558
7,0.004157894736842105,0.0616
7,0.004263157894736842,0.0612
7,0.004368421052631579,0.0625
7,0.0044736842105263155,0.0701
7,0.004578947368421053,0.0717
7,0.00468421052631579,0.0736
7,0.004789473684210527,0.0787
7,0.004894736842105263,0.0846
7,0.005,0.0846
9,0.003,0.026
9,0.003105263157894737,0.0236
9,0.0032105263157894736,0.0294
9,0.0033157894736842108,0.0285
9,0.0034210526315789475,0.0346
9,0.0035263157894736843,0.0326
9,0.003631578947368421,0.042
9,0.003736842105263158,0.0444
9,0.003842105263157895,0.0478
9,0.003947368421052632,0.0504
9,0.0040526315789473685,0.0497
9,0.004157894736842105,0.0596
9,0.004263157894736842,0.0627
9,0.004368421052631579,0.0658
9,0.0044736842105263155,0.0688
9,0.004578947368421053,0.0719
9,0.00468421052631579,0.0779
9,0.004789473684210527,0.0845
9,0.004894736842105263,0.0898
9,0.005,0.0935
11,0.003,0.0177
11,0.003105263157894737,0.0209
11,0.0032105263157894736,0.0234
11,0.0033157894736842108,0.0268
11,0.0034210526315789475,0.028
11,0.0035263157894736843,0.0348
11,0.003631578947368421,0.0382
11,0.003736842105263158,0.0426
11,0.003842105263157895,0.0433
11,0.003947368421052632,0.0456
11,0.0040526315789473685,0.0503
11,0.004157894736842105,0.0513
11,0.004263157894736842,0.0645
11,0.004368421052631579,0.0703
11,0.0044736842105263155,0.0704
11,0.004578947368421053,0.0746
11,0.00468421052631579,0.0787
11,0.004789473684210527,0.0852
11,0.004894736842105263,0.096
11,0.005,0.0985
13,0.003,0.0142
13,0.003105263157894737,0.0163
13,0.0032105263157894736,0.0184
13,0.0033157894736842108,0.0212
13,0.0034210526315789475,0.024
13,0.0035263157894736843,0.0282
13,0.003631578947368421,0.029
13,0.003736842105263158,0.0356
13,0.003842105263157895,0.0373
13,0.003947368421052632,0.0432
13,0.0040526315789473685,0.0493
13,0.004157894736842105,0.0529
13,0.004263157894736842,0.0598
13,0.004368421052631579,0.067
13,0.0044736842105263155,0.0731
13,0.004578947368421053,0.0797
13,0.00468421052631579,0.0832
13,0.004789473684210527,0.0894
13,0.004894736842105263,0.0936
13,0.005,0.1072
